table_name,ordinal_position,column_name,role_name,table_select,table_insert,table_update,table_delete,column_select,column_insert,column_update,has_column_acl
order_line_item,2,order_id,authenticated,true,true,true,true,true,true,true,false
order_line_item,2,order_id,service_role,true,true,true,true,true,true,true,false
order_line_item,3,line_kind,anon,false,false,false,false,false,false,false,false
order_line_item,3,line_kind,authenticated,true,true,true,true,true,true,true,false
order_line_item,3,line_kind,service_role,true,true,true,true,true,true,true,false
order_line_item,4,product_id,anon,false,false,false,false,false,false,false,false
order_line_item,4,product_id,authenticated,true,true,true,true,true,true,true,false
order_line_item,4,product_id,service_role,true,true,true,true,true,true,true,false
order_line_item,5,product_color_id,anon,false,false,false,false,false,false,false,false
order_line_item,5,product_color_id,authenticated,true,true,true,true,true,true,true,false
order_line_item,5,product_color_id,service_role,true,true,true,true,true,true,true,false
order_line_item,6,item_name,anon,false,false,false,false,false,false,false,false
order_line_item,6,item_name,authenticated,true,true,true,true,true,true,true,false
order_line_item,6,item_name,service_role,true,true,true,true,true,true,true,false
order_line_item,7,specification,anon,false,false,false,false,false,false,false,false
order_line_item,7,specification,authenticated,true,true,true,true,true,true,true,false
order_line_item,7,specification,service_role,true,true,true,true,true,true,true,false
order_line_item,8,unit_price,anon,false,false,false,false,false,false,false,false
order_line_item,8,unit_price,authenticated,true,true,true,true,true,true,true,false
order_line_item,8,unit_price,service_role,true,true,true,true,true,true,true,false
order_line_item,9,quantity,anon,false,false,false,false,false,false,false,false
order_line_item,9,quantity,authenticated,true,true,true,true,true,true,true,false
order_line_item,9,quantity,service_role,true,true,true,true,true,true,true,false
order_line_item,10,line_total,anon,false,false,false,false,false,false,false,false
order_line_item,10,line_total,authenticated,true,true,true,true,true,true,true,false
order_line_item,10,line_total,service_role,true,true,true,true,true,true,true,false
party_capability,1,marketplace_party_id,anon,true,false,false,false,true,false,false,false
party_capability,1,marketplace_party_id,authenticated,true,true,true,true,true,true,true,false
party_capability,1,marketplace_party_id,service_role,true,true,true,true,true,true,true,false
party_capability,2,service_type_id,anon,true,false,false,false,true,false,false,false
party_capability,2,service_type_id,authenticated,true,true,true,true,true,true,true,false
party_capability,2,service_type_id,service_role,true,true,true,true,true,true,true,false
party_capability,3,declared_at,anon,true,false,false,false,true,false,false,false
party_capability,3,declared_at,authenticated,true,true,true,true,true,true,true,false
party_capability,3,declared_at,service_role,true,true,true,true,true,true,true,false
purchase_order,1,id,anon,false,false,false,false,false,false,false,false
purchase_order,1,id,authenticated,true,true,false,true,true,true,false,false
purchase_order,1,id,service_role,true,true,true,true,true,true,true,false
purchase_order,2,customer_profile_id,anon,false,false,false,false,false,false,false,false
